时间,功率(MW)
1968/1/1 00:00,0.0521
1968/1/1 00:15,0.06305
1968/1/1 00:30,0.0822
1968/1/1 00:45,0.09105
1968/1/1 01:00,0.09485
1968/1/1 01:15,0.092
1968/1/1 01:30,0.0897
1968/1/1 01:45,0.0761
1968/1/1 02:00,0.05395
1968/1/1 02:15,0.03795
1968/1/1 02:30,0.0325
1968/1/1 02:45,0.0357
1968/1/1 03:00,0.04045
1968/1/1 03:15,0.05855
1968/1/1 03:30,0.0502
1968/1/1 03:45,0.0277
1968/1/1 04:00,0.03275
1968/1/1 04:15,0.0478
1968/1/1 04:30,0.0587
1968/1/1 04:45,0.0814
1968/1/1 05:00,0.0893
1968/1/1 05:15,0.0956
1968/1/1 05:30,0.0783
1968/1/1 05:45,0.0792
1968/1/1 06:00,0.08515
1968/1/1 06:15,0.09055
1968/1/1 06:30,0.11435
1968/1/1 06:45,0.1433
1968/1/1 07:00,0.139
1968/1/1 07:15,0.1322
1968/1/1 07:30,0.12025
1968/1/1 07:45,0.1065
1968/1/1 08:00,0.0782
1968/1/1 08:15,0.06865
1968/1/1 08:30,0.0602
1968/1/1 08:45,0.0486
1968/1/1 09:00,0.0257
1968/1/1 09:15,0.0233
1968/1/1 09:30,0.0216
1968/1/1 09:45,0.02355
1968/1/1 10:00,0.0224
1968/1/1 10:15,0.0206
1968/1/1 10:30,0.0222
1968/1/1 10:45,0.0179
1968/1/1 11:00,0.02925
1968/1/1 11:15,0.03005
1968/1/1 11:30,0.03725
1968/1/1 11:45,0.01805
1968/1/1 12:00,0.0027
1968/1/1 12:15,0.0073
1968/1/1 12:30,0.0245
1968/1/1 12:45,0.04125
1968/1/1 13:00,0.06505
1968/1/1 13:15,0.0606
1968/1/1 13:30,0.05315
1968/1/1 13:45,0.0653
1968/1/1 14:00,0.0727
1968/1/1 14:15,0.07265
1968/1/1 14:30,0.06975
1968/1/1 14:45,0.0535
1968/1/1 15:00,0.075
1968/1/1 15:15,0.09275
1968/1/1 15:30,0.13485
1968/1/1 15:45,0.1577
1968/1/1 16:00,0.19265
1968/1/1 16:15,0.1582
1968/1/1 16:30,0.1529
1968/1/1 16:45,0.2435
1968/1/1 17:00,0.24355
1968/1/1 17:15,0.17285
1968/1/1 17:30,0.1674
1968/1/1 17:45,0.21875
1968/1/1 18:00,0.25335
1968/1/1 18:15,0.3269
1968/1/1 18:30,0.31625
1968/1/1 18:45,0.26485
1968/1/1 19:00,0.2677
1968/1/1 19:15,0.2664
1968/1/1 19:30,0.2508
1968/1/1 19:45,0.23625
1968/1/1 20:00,0.2131
1968/1/1 20:15,0.20825
1968/1/1 20:30,0.2212
1968/1/1 20:45,0.26015
1968/1/1 21:00,0.2612
1968/1/1 21:15,0.2682
1968/1/1 21:30,0.3183
1968/1/1 21:45,0.30715
1968/1/1 22:00,0.29215
1968/1/1 22:15,0.28425
1968/1/1 22:30,0.2574
1968/1/1 22:45,0.25105
1968/1/1 23:00,0.30985
1968/1/1 23:15,0.3495
1968/1/1 23:30,0.4002
1968/1/1 23:45,0.3656
1968/1/2 00:00,0.2698
1968/1/2 00:15,0.25685
1968/1/2 00:30,0.30165
1968/1/2 00:45,0.34455
1968/1/2 01:00,0.31725
1968/1/2 01:15,0.3263
1968/1/2 01:30,0.31255
1968/1/2 01:45,0.29145
1968/1/2 02:00,0.30805
1968/1/2 02:15,0.31145
1968/1/2 02:30,0.28895
1968/1/2 02:45,0.2739
1968/1/2 03:00,0.2963
1968/1/2 03:15,0.3888
1968/1/2 03:30,0.43865
1968/1/2 03:45,0.4801
1968/1/2 04:00,0.4911
1968/1/2 04:15,0.48185
1968/1/2 04:30,0.5012
1968/1/2 04:45,0.51295
1968/1/2 05:00,0.5165
1968/1/2 05:15,0.5277
1968/1/2 05:30,0.51525
1968/1/2 05:45,0.50565
1968/1/2 06:00,0.49195
1968/1/2 06:15,0.51815
1968/1/2 06:30,0.5396
1968/1/2 06:45,0.56395
1968/1/2 07:00,0.6186
1968/1/2 07:15,0.59825
1968/1/2 07:30,0.4626
1968/1/2 07:45,0.4567
1968/1/2 08:00,0.455
1968/1/2 08:15,0.4559
1968/1/2 08:30,0.4087
1968/1/2 08:45,0.3796
1968/1/2 09:00,0.39885
1968/1/2 09:15,0.3405
1968/1/2 09:30,0.36475
1968/1/2 09:45,0.3711
1968/1/2 10:00,0.2769
1968/1/2 10:15,0.24775
1968/1/2 10:30,0.3657
1968/1/2 10:45,0.39935
1968/1/2 11:00,0.35765
1968/1/2 11:15,0.28855
1968/1/2 11:30,0.29475
1968/1/2 11:45,0.2874
1968/1/2 12:00,0.2093
1968/1/2 12:15,0.19615
1968/1/2 12:30,0.1251
1968/1/2 12:45,0.05405
1968/1/2 13:00,0.0289
1968/1/2 13:15,0.03255
1968/1/2 13:30,0.03985
1968/1/2 13:45,0.032
1968/1/2 14:00,0.01375
1968/1/2 14:15,0.0123
1968/1/2 14:30,0.00415
1968/1/2 14:45,0.02235
1968/1/2 15:00,0.0819
1968/1/2 15:15,0.1373
1968/1/2 15:30,0.16515
1968/1/2 15:45,0.28355
